"user_id","session_id","session_number","platform_type","time_start_session","time_finish_session","length_session","amount_get_level","amount_get_gold"
"1000076",i1000076RU2,2,iOS,2023-02-02 17:26:21,2023-02-02 17:34:06,465,5,2000
"1000076",i1000076RU3,3,iOS,2023-02-03 17:11:30,2023-02-03 17:13:12,102,1,1000
"1000078",i1000078NL1,1,iOS,2023-02-01 18:26:48,2023-02-01 18:27:18,30,0,0
"1000079",a1000079PL1,1,android,2023-02-01 18:40:13,2023-02-01 18:46:31,378,6,1050
"1000079",a1000079PL2,2,android,2023-02-02 18:36:21,2023-02-02 18:43:35,434,2,3200
"1000080",a1000080RU1,1,android,2023-02-01 18:54:13,2023-02-01 18:55:02,49,1,50
"1000081",i1000081GE1,1,iOS,2023-02-01 19:03:01,2023-02-01 19:03:10,9,0,0
"1000082",a1000082RU1,1,android,2023-02-01 19:17:00,2023-02-01 19:17:05,5,0,0
"1000083",i1000083KZ1,1,iOS,2023-02-01 19:19:25,2023-02-01 19:23:24,239,2,850
"1000084",a1000084KZ1,1,android,2023-02-01 19:33:02,2023-02-01 19:33:10,8,0,0
"1000085",a1000085RU1,1,android,2023-02-01 19:46:40,2023-02-01 19:53:11,391,5,1050
"1000085",a1000085RU2,2,android,2023-02-01 20:28:32,2023-02-01 20:30:05,93,1,100
"1000086",a1000086RU1,1,android,2023-02-01 19:56:10,2023-02-01 20:01:20,310,4,950
"1000087",a1000087PL1,1,android,2023-02-01 20:00:19,2023-02-01 20:00:22,3,0,0
"1000088",a1000088PL1,1,android,1970-01-01 03:00:00,2023-02-01 20:00:38,1675270838,0,0
"1000094",a1000094RU1,1,android,2023-02-01 20:51:03,2023-02-01 20:53:52,169,3,750
"1000097",a1000097PL1,1,android,2023-02-01 21:15:57,2023-02-01 21:16:02,5,0,0
"1000098",a1000098PL1,1,android,2023-02-01 21:17:44,2023-02-01 21:18:11,27,0,0
"1000099",i1000099DE1,1,iOS,2023-02-01 21:27:00,2023-02-01 21:27:09,9,0,0
"1000102",a1000102BY1,1,android,2023-02-01 21:46:56,2023-02-01 21:46:56,0,0,0
"1000105",a1000105KZ1,1,android,2023-02-01 22:13:22,2023-02-01 22:13:51,29,0,0
"1000108",i1000108KZ1,1,iOS,2023-02-01 22:38:28,2023-02-01 22:44:43,375,6,1050
"1000108",i1000108KZ2,2,iOS,2023-02-02 22:12:38,2023-02-02 22:20:41,483,5,2000
"1000108",i1000108KZ3,3,iOS,2023-02-03 21:35:58,2023-02-03 21:37:28,90,0,1000
"1000109",a1000109RU1,1,android,2023-02-01 22:43:00,2023-02-01 22:43:29,29,0,0
"1000110",a1000110RU1,1,android,2023-02-01 22:56:23,2023-02-01 22:56:28,5,0,0
"1000112",a1000112RU1,1,android,2023-02-01 23:15:26,2023-02-01 23:21:35,369,6,1050
"1000112",a1000112RU2,2,android,2023-02-02 23:06:07,2023-02-02 23:14:40,513,4,2000
"1000113",i1000113RU1,1,iOS,2023-02-01 23:25:20,2023-02-01 23:26:00,40,0,0
"1000115",a1000115PL1,1,android,2023-02-01 23:48:00,2023-02-01 23:50:36,156,3,750
"1000117",a1000117DE1,1,android,2023-02-02 00:02:48,2023-02-02 00:02:48,0,0,0
"1000118",i1000118PL1,1,iOS,2023-02-02 00:16:22,2023-02-02 00:16:32,10,0,0
"1000120",a1000120GE1,1,android,2023-02-02 00:29:54,2023-02-02 00:30:14,20,0,0
"1000129",a1000129CA1,1,android,2023-02-02 01:39:27,2023-02-02 01:45:31,364,6,1050
"1000129",a1000129CA2,2,android,2023-02-03 01:08:42,2023-02-03 01:16:05,443,4,2000
"1000130",a1000130RU1,1,android,2023-02-02 01:43:01,2023-02-02 01:45:53,172,2,750
"1000134",a1000134RU1,1,android,2023-02-02 02:20:24,2023-02-02 02:23:52,208,4,850
"1000135",i1000135US1,1,iOS,2023-02-02 02:34:15,2023-02-02 02:34:54,39,0,0
"1000136",a1000136US1,1,android,2023-02-02 02:38:32,2023-02-02 02:38:52,20,0,0
"1000138",i1000138RU1,1,iOS,2023-02-02 02:49:34,2023-02-02 02:54:03,269,4,950
"1000139",a1000139IT1,1,android,2023-02-02 02:52:03,2023-02-02 02:52:03,0,0,0
"1000144",a1000144ES1,1,android,2023-02-02 03:27:17,2023-02-02 03:28:51,94,2,650
"1000146",i1000146BY1,1,iOS,2023-02-02 03:50:29,2023-02-02 03:50:55,26,0,0
"1000149",a1000149US1,1,android,2023-02-02 04:26:49,2023-02-02 04:26:49,0,0,0
"1000154",i1000154IT1,1,iOS,2023-02-02 05:10:36,2023-02-02 05:11:06,30,0,0
"1000156",a1000156PL1,1,android,2023-02-02 05:20:15,2023-02-02 05:20:29,14,0,0
"1000157",i1000157KZ1,1,iOS,2023-02-02 05:33:59,2023-02-02 05:34:29,30,0,0
"1000158",a1000158DE1,1,android,2023-02-02 05:38:13,2023-02-02 05:44:43,390,6,1050
"1000158",a1000158DE2,2,android,2023-02-03 05:21:57,2023-02-03 05:30:43,526,5,2000
"1000158",a1000158DE3,3,android,2023-02-04 05:02:12,2023-02-04 05:03:37,85,0,1000
"1000160",i1000160DE1,1,iOS,2023-02-02 05:52:53,2023-02-02 05:55:32,159,3,750
"1000161",a1000161US1,1,android,2023-02-02 06:02:08,2023-02-02 06:04:57,169,3,750
"1000166",a1000166DE1,1,android,2023-02-02 06:39:42,2023-02-02 06:39:47,5,0,0
"1000167",i1000167US1,1,iOS,2023-02-02 06:41:42,2023-02-02 06:42:40,58,1,50
"1000172",a1000172DE1,1,android,2023-02-02 07:26:06,2023-02-02 07:26:13,7,0,0
"1000173",i1000173US1,1,iOS,2023-02-02 07:34:46,2023-02-02 07:35:01,15,0,0
"1000175",a1000175US1,1,android,2023-02-02 07:48:23,2023-02-02 07:48:37,14,0,0
"1000177",a1000177DE1,1,android,2023-02-02 08:07:49,2023-02-02 08:08:29,40,0,0
"1000178",a1000178RU1,1,android,2023-02-02 08:11:29,2023-02-02 08:15:42,253,4,950
"1000179",a1000179ES1,1,android,2023-02-02 08:17:37,2023-02-02 08:21:14,217,3,850
"1000180",a1000180ES1,1,android,2023-02-02 08:22:11,2023-02-02 08:22:16,5,0,0
"1000181",a1000181LV1,1,android,2023-02-02 08:31:30,2023-02-02 08:36:14,284,4,950
"1000183",a1000183US1,1,android,2023-02-02 08:50:26,2023-02-02 08:50:31,5,0,0
"1000187",a1000187ES1,1,android,2023-02-02 09:31:51,2023-02-02 09:32:14,23,0,0
"1000188",i1000188RU1,1,iOS,2023-02-02 09:37:27,2023-02-02 09:41:59,272,4,950
"1000189",a1000189GE1,1,android,2023-02-02 09:45:58,2023-02-02 09:45:58,0,0,0
"1000190",a1000190KZ1,1,android,2023-02-02 09:55:42,2023-02-02 10:00:08,266,4,950
"1000191",i1000191US1,1,iOS,2023-02-02 10:00:12,2023-02-02 10:00:12,0,0,0
"1000193",i1000193BY1,1,iOS,2023-02-02 10:06:27,2023-02-02 10:06:27,0,0,0
"1000198",a1000198ES1,1,android,2023-02-02 10:57:31,2023-02-02 10:57:31,0,0,0
"1000199",a1000199RU1,1,android,2023-02-02 11:06:59,2023-02-02 11:06:59,0,0,0
"1000201",a1000201BY1,1,android,2023-02-02 11:26:27,2023-02-02 11:30:53,266,4,950
"1000203",i1000203US1,1,iOS,2023-02-02 11:45:34,2023-02-02 11:49:05,211,4,850
"1000204",a1000204US1,1,android,2023-02-02 11:51:38,2023-02-02 11:53:12,94,2,650
"1000205",a1000205RU1,1,android,2023-02-02 12:05:13,2023-02-02 12:05:23,10,0,0
"1000206",i1000206KZ1,1,iOS,2023-02-02 12:13:55,2023-02-02 12:14:25,30,0,0
"1000208",i1000208RU1,1,iOS,2023-02-02 12:25:25,2023-02-02 12:33:32,487,3,950
"1000210",a1000210RU1,1,android,2023-02-02 12:52:24,2023-02-02 12:52:35,11,0,0
"1000212",a1000212US1,1,android,2023-02-02 13:06:21,2023-02-02 13:06:41,20,0,0
"1000213",a1000213RU1,1,android,2023-02-02 13:12:11,2023-02-02 13:12:23,12,0,0
"1000215",a1000215GE1,1,android,2023-02-02 13:34:53,2023-02-02 13:37:44,171,3,750
"1000216",a1000216US1,1,android,2023-02-02 13:43:40,2023-02-02 13:43:46,6,0,0
"1000218",i1000218RU1,1,iOS,2023-02-02 13:51:41,2023-02-02 13:57:18,337,5,1050
"1000218",i1000218RU2,2,iOS,2023-02-02 14:40:03,2023-02-02 14:41:36,93,1,100
"1000221",a1000221ES1,1,android,2023-02-02 14:15:20,2023-02-02 14:15:41,21,0,0
"1000222",a1000222RU1,1,android,2023-02-02 14:24:55,2023-02-02 14:25:14,19,0,0
"1000223",i1000223BY1,1,iOS,2023-02-02 14:38:34,2023-02-02 14:39:26,52,1,50
"1000224",a1000224RU1,1,android,2023-02-02 14:42:32,2023-02-02 14:42:32,0,0,0
"1000225",i1000225PL1,1,iOS,1970-01-01 03:00:00,2023-02-02 14:46:38,1675338398,0,0
"1000228",i1000228US1,1,iOS,2023-02-02 15:11:09,2023-02-02 15:11:25,16,0,0
"1000229",a1000229CA1,1,android,2023-02-02 15:16:32,2023-02-02 15:17:01,29,0,0
"1000230",a1000230GE1,1,android,2023-02-02 15:30:25,2023-02-02 15:35:09,284,4,950
"1000233",a1000233GE1,1,android,2023-02-02 16:06:58,2023-02-02 16:10:30,212,4,850
"1000236",a1000236RU1,1,android,2023-02-02 16:28:54,2023-02-02 16:29:24,30,0,0
"1000237",a1000237US1,1,android,2023-02-02 16:34:27,2023-02-02 16:35:11,44,1,50
"1000240",i1000240US1,1,iOS,2023-02-02 16:53:15,2023-02-02 16:53:50,35,0,0
"1000243",a1000243RU1,1,android,2023-02-02 17:09:15,2023-02-02 17:09:33,18,0,0
"1000244",a1000244DE1,1,android,2023-02-02 17:22:36,2023-02-02 17:29:07,391,5,1050
"1000244",a1000244DE2,2,android,2023-02-02 18:26:47,2023-02-02 18:28:11,84,1,100
"1000245",i1000245KZ1,1,iOS,2023-02-02 17:31:48,2023-02-02 17:34:29,161,3,750
"1000246",a1000246RU1,1,android,2023-02-02 17:37:22,2023-02-02 17:38:02,40,0,0
"1000254",a1000254US1,1,android,2023-02-02 18:45:29,2023-02-02 18:45:29,0,0,0
"1000255",i1000255PL1,1,iOS,2023-02-02 18:54:47,2023-02-02 18:59:11,264,4,950
"1000256",i1000256KZ1,1,iOS,2023-02-02 18:58:48,2023-02-02 18:59:30,42,1,50
"1000257",a1000257PL1,1,android,2023-02-02 19:12:10,2023-02-02 19:12:15,5,0,0
"1000260",a1000260DE1,1,android,2023-02-02 19:27:44,2023-02-02 19:32:35,291,4,950
"1000261",a1000261PL1,1,android,2023-02-02 19:33:26,2023-02-02 19:37:13,227,4,850
"1000262",a1000262US1,1,android,2023-02-02 19:42:30,2023-02-02 19:48:48,378,6,1050
"1000262",a1000262US2,2,android,2023-02-03 19:34:34,2023-02-03 19:41:48,434,5,2000
"1000262",a1000262US3,3,android,2023-02-04 19:19:49,2023-02-04 19:21:21,92,1,1000
"1000263",a1000263US1,1,android,2023-02-02 19:47:11,2023-02-02 19:53:48,397,6,1050
"1000263",a1000263US2,2,android,2023-02-03 19:45:43,2023-02-03 19:52:55,432,5,2000
"1000263",a1000263US3,3,android,2023-02-04 19:08:21,2023-02-04 19:09:51,90,1,1000
"1000267",a1000267DE1,1,android,2023-02-02 20:10:40,2023-02-02 20:10:40,0,0,0
"1000268",a1000268DE1,1,android,2023-02-02 20:20:05,2023-02-02 20:20:54,49,0,0
"1000269",a1000269US1,1,android,2023-02-02 20:33:08,2023-02-02 20:33:25,17,0,0
"1000272",a1000272US1,1,android,2023-02-02 21:02:16,2023-02-02 21:02:50,34,0,0
"1000273",a1000273KZ1,1,android,1970-01-01 03:00:00,2023-02-02 21:06:09,1675361169,0,0
"1000274",a1000274US1,1,android,2023-02-02 21:12:44,2023-02-02 21:13:03,19,0,0
"1000277",i1000277CA1,1,iOS,2023-02-02 21:37:30,2023-02-02 21:37:35,5,0,0
"1000285",a1000285BY1,1,android,2023-02-02 22:41:42,2023-02-02 22:42:19,37,0,0
"1000286",a1000286ES1,1,android,2023-02-02 22:54:45,2023-02-02 22:54:45,0,0,0
"1000287",i1000287US1,1,iOS,2023-02-02 22:59:39,2023-02-02 23:00:12,33,0,0
"1000288",a1000288PL1,1,android,2023-02-02 23:08:38,2023-02-02 23:09:18,40,1,50
"1000290",i1000290RU1,1,iOS,2023-02-02 23:17:00,2023-02-02 23:20:54,234,3,850
"1000292",a1000292GE1,1,android,2023-02-02 23:34:54,2023-02-02 23:37:33,159,3,750
"1000293",a1000293DE1,1,android,2023-02-02 23:48:30,2023-02-02 23:49:11,41,0,0
"1000295",i1000295DE1,1,iOS,2023-02-03 00:06:39,2023-02-03 00:07:23,44,0,0
"1000296",i1000296BY1,1,iOS,2023-02-03 00:12:01,2023-02-03 00:12:14,13,0,0
"1000297",a1000297RU1,1,android,2023-02-03 00:21:18,2023-02-03 00:21:32,14,0,0
"1000299",a1000299IT1,1,android,2023-02-03 00:28:52,2023-02-03 00:32:42,230,4,850
"1000301",i1000301RU1,1,iOS,2023-02-03 00:37:24,2023-02-03 00:37:36,12,0,0
"1000303",a1000303US1,1,android,2023-02-03 00:48:53,2023-02-03 00:54:46,353,6,1050
"1000303",a1000303US2,2,android,2023-02-04 00:36:15,2023-02-04 00:43:54,459,4,2000
"1000306",i1000306DE1,1,iOS,2023-02-03 01:29:10,2023-02-03 01:29:29,19,0,0
"1000309",a1000309RU1,1,android,2023-02-03 01:48:44,2023-02-03 01:49:08,24,0,0
"1000310",a1000310GE1,1,android,2023-02-03 01:57:35,2023-02-03 01:57:35,0,0,0
"1000311",a1000311US1,1,android,2023-02-03 02:00:10,2023-02-03 02:03:48,218,4,850
"1000312",a1000312GE1,1,android,2023-02-03 02:09:02,2023-02-03 02:09:24,22,0,0
"1000314",a1000314DE1,1,android,2023-02-03 02:27:13,2023-02-03 02:27:35,22,0,0
"1000315",a1000315NL1,1,android,2023-02-03 02:37:14,2023-02-03 02:37:45,31,0,0
"1000317",i1000317RU1,1,iOS,2023-02-03 02:46:47,2023-02-03 02:51:30,283,4,950
"1000318",i1000318CA1,1,iOS,2023-02-03 02:52:32,2023-02-03 02:52:32,0,0,0
"1000320",a1000320RU1,1,android,2023-02-03 03:06:59,2023-02-03 03:07:04,5,0,0
"1000321",a1000321RU1,1,android,2023-02-03 03:16:05,2023-02-03 03:17:44,99,2,650
"1000322",a1000322RU1,1,android,2023-02-03 03:20:52,2023-02-03 03:20:55,3,0,0
"1000324",a1000324BY1,1,android,2023-02-03 03:28:55,2023-02-03 03:28:55,0,0,0
"1000327",a1000327IT1,1,android,2023-02-03 03:43:04,2023-02-03 03:49:22,378,6,1050
"1000327",a1000327IT2,2,android,2023-02-04 03:32:04,2023-02-04 03:39:44,460,4,2000
"1000330",i1000330IT1,1,iOS,2023-02-03 04:19:21,2023-02-03 04:19:29,8,0,0
"1000331",a1000331RU1,1,android,2023-02-03 04:25:00,2023-02-03 04:25:05,5,0,0
"1000335",a1000335US1,1,android,2023-02-03 04:56:07,2023-02-03 04:56:07,0,0,0
"1000336",a1000336RU1,1,android,2023-02-03 05:09:30,2023-02-03 05:14:04,274,4,950
"1000338",i1000338ES1,1,iOS,2023-02-03 05:24:46,2023-02-03 05:24:53,7,0,0
"1000339",a1000339RU1,1,android,2023-02-03 05:37:48,2023-02-03 05:39:19,91,2,650
"1000340",i1000340US1,1,iOS,2023-02-03 05:41:58,2023-02-03 05:42:17,19,0,0
"1000341",i1000341BY1,1,iOS,2023-02-03 05:47:18,2023-02-03 05:47:36,18,0,0
"1000342",i1000342KZ1,1,iOS,2023-02-03 05:53:39,2023-02-03 05:53:47,8,0,0
"1000345",a1000345PL1,1,android,2023-02-03 06:14:11,2023-02-03 06:14:14,3,0,0
"1000346",i1000346US1,1,iOS,2023-02-03 06:27:47,2023-02-03 06:28:13,26,0,0
"1000347",i1000347RU1,1,iOS,2023-02-03 06:41:12,2023-02-03 06:41:46,34,0,0
"1000348",i1000348RU1,1,iOS,2023-02-03 06:50:21,2023-02-03 06:54:11,230,3,850
"1000349",a1000349PL1,1,android,1970-01-01 03:00:00,2023-02-03 06:51:13,1675396273,0,0
"1000350",a1000350BY1,1,android,2023-02-03 07:06:05,2023-02-03 07:06:12,7,0,0
"1000351",i1000351IT1,1,iOS,2023-02-03 07:19:54,2023-02-03 07:20:15,21,0,0
"1000352",a1000352GE1,1,android,2023-02-03 07:28:58,2023-02-03 07:29:22,24,0,0
"1000354",i1000354US1,1,iOS,2023-02-03 07:40:52,2023-02-03 07:43:27,155,2,750
"1000357",i1000357RU1,1,iOS,2023-02-03 07:56:23,2023-02-03 07:57:06,43,0,0
"1000358",i1000358US1,1,iOS,2023-02-03 08:10:07,2023-02-03 08:16:23,376,6,1050
"1000358",i1000358US2,2,iOS,2023-02-04 08:02:23,2023-02-04 08:09:12,409,2,3200
"1000360",i1000360PL1,1,iOS,2023-02-03 08:23:18,2023-02-03 08:27:43,265,4,950
"1000361",a1000361IT1,1,android,2023-02-03 08:26:11,2023-02-03 08:26:11,0,0,0
"1000362",i1000362ES1,1,iOS,2023-02-03 08:29:49,2023-02-03 08:29:52,3,0,0
"1000366",a1000366RU1,1,android,2023-02-03 08:58:06,2023-02-03 08:58:06,0,0,0
"1000367",a1000367LV1,1,android,2023-02-03 09:12:04,2023-02-03 09:12:47,43,1,50
"1000370",a1000370US1,1,android,2023-02-03 09:27:31,2023-02-03 09:27:33,2,0,0
"1000371",a1000371GE1,1,android,2023-02-03 09:36:51,2023-02-03 09:36:59,8,0,0
"1000372",a1000372IT1,1,android,1970-01-01 03:00:00,2023-02-03 09:38:04,1675406284,0,0
"1000374",a1000374KZ1,1,android,2023-02-03 09:48:09,2023-02-03 09:48:12,3,0,0
"1000375",a1000375IT1,1,android,2023-02-03 09:51:59,2023-02-03 09:58:15,376,5,1050
"1000375",a1000375IT2,2,android,2023-02-03 10:40:56,2023-02-03 10:42:35,99,1,100
"1000377",a1000377RU1,1,android,2023-02-03 10:14:31,2023-02-03 10:20:38,367,6,1050
"1000377",a1000377RU2,2,android,2023-02-04 09:29:14,2023-02-04 09:36:25,431,4,2000
"1000378",a1000378RU1,1,android,2023-02-03 10:18:38,2023-02-03 10:19:10,32,0,0
"1000383",a1000383GE1,1,android,2023-02-03 11:06:07,2023-02-03 11:06:37,30,0,0
"1000386",i1000386IT1,1,iOS,2023-02-03 11:34:22,2023-02-03 11:35:03,41,1,50
"1000387",a1000387RU1,1,android,1970-01-01 03:00:00,2023-02-03 11:42:06,1675413726,0,0
"1000388",a1000388RU1,1,android,2023-02-03 11:57:17,2023-02-03 11:57:32,15,0,0
"1000389",i1000389RU1,1,iOS,2023-02-03 12:03:26,2023-02-03 12:07:57,271,4,950
"1000390",a1000390RU1,1,android,2023-02-03 12:16:24,2023-02-03 12:22:17,353,6,1050
"1000390",a1000390RU2,2,android,2023-02-04 11:25:58,2023-02-04 11:33:35,457,5,2000
"1000390",a1000390RU3,3,android,2023-02-05 11:01:36,2023-02-05 11:03:44,128,1,1000
"1000393",a1000393US1,1,android,2023-02-03 12:49:25,2023-02-03 12:49:25,0,0,0
"1000395",a1000395KZ1,1,android,2023-02-03 13:06:43,2023-02-03 13:06:52,9,0,0
"1000396",a1000396US1,1,android,2023-02-03 13:09:38,2023-02-03 13:09:42,4,0,0
"1000397",i1000397US1,1,iOS,2023-02-03 13:19:03,2023-02-03 13:19:16,13,0,0
"1000399",a1000399RU1,1,android,2023-02-03 13:41:37,2023-02-03 13:47:48,371,5,1050
"1000399",a1000399RU2,2,android,2023-02-03 14:34:59,2023-02-03 14:40:51,352,0,100
"1000400",a1000400DE1,1,android,2023-02-03 13:50:25,2023-02-03 13:51:09,44,0,0
"1000402",a1000402PL1,1,android,2023-02-03 14:02:13,2023-02-03 14:08:20,367,6,1050
"1000402",a1000402PL2,2,android,2023-02-04 14:01:19,2023-02-04 14:07:55,396,5,2000
"1000402",a1000402PL3,3,android,2023-02-05 13:34:49,2023-02-05 13:36:31,102,1,1000
"1000405",a1000405PL1,1,android,2023-02-03 14:39:06,2023-02-03 14:39:44,38,0,0
"1000406",a1000406KZ1,1,android,2023-02-03 14:52:47,2023-02-03 14:52:56,9,0,0
"1000407",i1000407KZ1,1,iOS,2023-02-03 15:01:30,2023-02-03 15:01:39,9,0,0
"1000408",a1000408RU1,1,android,2023-02-03 15:10:52,2023-02-03 15:14:22,210,3,850
"1000409",i1000409RU1,1,iOS,2023-02-03 15:20:06,2023-02-03 15:20:31,25,0,0
"1000410",i1000410RU1,1,iOS,2023-02-03 15:29:31,2023-02-03 15:36:06,395,5,1050
"1000410",i1000410RU2,2,iOS,2023-02-03 16:00:00,2023-02-03 16:01:21,81,1,100
"1000411",a1000411ES1,1,android,2023-02-03 15:42:21,2023-02-03 15:46:20,239,4,850
"1000414",a1000414PL1,1,android,2023-02-03 16:03:58,2023-02-03 16:10:05,367,6,1050
"1000414",a1000414PL2,2,android,2023-02-04 15:33:02,2023-02-04 15:39:43,401,5,2000
"1000414",a1000414PL3,3,android,2023-02-05 15:23:18,2023-02-05 15:25:19,121,1,1000
"1000415",i1000415LV1,1,iOS,2023-02-03 16:05:44,2023-02-03 16:07:16,92,2,650
"1000421",i1000421RU1,1,iOS,2023-02-03 17:02:52,2023-02-03 17:03:19,27,0,0
"1000426",i1000426BY1,1,iOS,2023-02-03 17:43:20,2023-02-03 17:49:04,344,6,1050
"1000426",i1000426BY2,2,iOS,2023-02-04 16:56:42,2023-02-04 17:03:59,437,4,2000
"1000428",i1000428IT1,1,iOS,2023-02-03 18:01:03,2023-02-03 18:07:07,364,6,1050
"1000428",i1000428IT2,2,iOS,2023-02-04 17:57:05,2023-02-04 18:04:03,418,4,2000
"1000432",a1000432IT1,1,android,2023-02-03 18:35:40,2023-02-03 18:37:22,102,2,650
"1000433",a1000433NL1,1,android,2023-02-03 18:41:19,2023-02-03 18:46:02,283,4,950
"1000435",a1000435RU1,1,android,2023-02-03 19:03:51,2023-02-03 19:04:05,14,0,0
"1000436",i1000436RU1,1,iOS,2023-02-03 19:13:02,2023-02-03 19:17:26,264,4,950
"1000437",i1000437RU1,1,iOS,2023-02-03 19:16:49,2023-02-03 19:22:44,355,6,1050
"1000437",i1000437RU2,2,iOS,2023-02-04 19:00:42,2023-02-04 19:08:00,438,4,2000
"1000440",i1000440DE1,1,iOS,2023-02-03 19:45:13,2023-02-03 19:46:40,87,2,650
"1000441",a1000441KZ1,1,android,2023-02-03 19:54:25,2023-02-03 19:54:29,4,0,0
